Executing GKD-c_1
16940.2		0.004932
Executing GKD-c_2
17219.1		0.004288
Executing GKD-c_3
16930.9		0.004408
Executing GKD-c_4
17278.9		0.00362
Executing GKD-c_5
17025.3		0.00318
Executing GKD-c_6
17194.3		0.003356
Executing GKD-c_7
17232.3		0.003812
Executing GKD-c_8
17207.6		0.003299
Executing GKD-c_9
16870.3		0.004112
Executing GKD-c_10
17184.6		0.004241
Executing SOM-b_11
20045		0.005641
Executing SOM-b_12
34867		0.008236
Executing SOM-b_13
4301		0.00179
Executing SOM-b_14
16276		0.005847
Executing SOM-b_15
35401		0.011102
Executing SOM-b_16
61420		0.019026
Executing SOM-b_17
6714		0.003283
Executing SOM-b_18
25210		0.012025
Executing SOM-b_19
54663		0.02268
Executing SOM-b_20
95486		0.035376
Executing MDG-a_21
111085		0.41529
Executing MDG-a_22
111218		0.412262
Executing MDG-a_23
111199		0.366112
Executing MDG-a_24
111271		0.372532
Executing MDG-a_25
111687		0.398795
Executing MDG-a_26
110980		0.451687
Executing MDG-a_27
111500		0.408466
Executing MDG-a_28
111207		0.4218
Executing MDG-a_29
111184		0.415298
Executing MDG-a_30
111579		0.372013
